           1  -4.4469622253994761     
           2  -5.7516505953250530E-002
           3  -6.0795633179910880E-004
           4  -5.7121514469571366E-006
           5  -5.0303380128013941E-008
           6  -4.2522074750195316E-010
           7  -3.4940939031002927E-012
           8  -2.8421709430404007E-014
           9   0.0000000000000000     
          10   0.0000000000000000     
          11   0.0000000000000000     
          12   0.0000000000000000     
          13   0.0000000000000000     
          14   0.0000000000000000     
          15   0.0000000000000000     
          16   0.0000000000000000     
          17   0.0000000000000000     
          18   0.0000000000000000     
          19   0.0000000000000000     
          20   0.0000000000000000     
