   1.5707963267948967E-003   7.9371574849347224E-006
   3.1415926535897933E-003   3.1748280946790587E-005
   4.7123889803846897E-003   7.1432323443873454E-005
   6.2831853071795866E-003   1.2698754018899096E-004
   7.8539816339744835E-003   1.9841148877867181E-004
   9.4247779607693795E-003   2.8570102944909162E-004
   1.0995574287564277E-002   3.8885232547063804E-004
   1.2566370614359173E-002   5.0786084351347983E-004
   1.4137166941154069E-002   6.4272135426633509E-004
   1.5707963267948967E-002   7.9342793296242778E-004
   1.7278759594743863E-002   9.5997396009340954E-004
   1.8849555921538759E-002   1.1423521221416357E-003
   2.0420352248333655E-002   1.3405544124462426E-003
   2.1991148575128554E-002   1.5545721321060509E-003
   2.3561944901923450E-002   1.7843958909624772E-003
   2.5132741228718346E-002   2.0300156086878944E-003
   2.6703537555513242E-002   2.2914205159453639E-003
   2.8274333882308138E-002   2.5685991555930467E-003
   2.9845130209103038E-002   2.8615393840136930E-003
   3.1415926535897934E-002   3.1702283724785903E-003
   3.2986722862692830E-002   3.4946526086391573E-003
   3.4557519189487726E-002   3.8347978980142806E-003
   3.6128315516282622E-002   4.1906493656791435E-003
   3.7699111843077518E-002   4.5621914578739629E-003
   3.9269908169872414E-002   4.9494079438124113E-003
   4.0840704496667310E-002   5.3522819175407400E-003
   4.2411500823462213E-002   5.7707957998068419E-003
   4.3982297150257109E-002   6.2049313400503008E-003
   4.5553093477052005E-002   6.6546696185383388E-003
   4.7123889803846901E-002   7.1199910483919814E-003
   4.8694686130641797E-002   7.6008753778725848E-003
   5.0265482457436693E-002   8.0973016926365431E-003
   5.1836278784231589E-002   8.6092484180824037E-003
   5.3407075111026485E-002   9.1366933217539390E-003
   5.4977871437821381E-002   9.6796135158801686E-003
   5.6548667764616277E-002   1.0237985459901412E-002
   5.8119464091411173E-002   1.0811784963097069E-002
   5.9690260418206076E-002   1.1400987187300633E-002
   6.1261056745000972E-002   1.2005566649668292E-002
   6.2831853071795868E-002   1.2625497225471146E-002
   6.4402649398590764E-002   1.3260752151057141E-002
   6.5973445725385660E-002   1.3911304026751828E-002
   6.7544242052180556E-002   1.4577124819966210E-002
   6.9115038378975452E-002   1.5258185868179194E-002
   7.0685834705770348E-002   1.5954457882215511E-002
   7.2256631032565244E-002   1.6665910949378592E-002
   7.3827427359360140E-002   1.7392514536774404E-002
   7.5398223686155036E-002   1.8134237494632784E-002
   7.6969020012949932E-002   1.8891048059732941E-002
   7.8539816339744828E-002   1.9662913858843289E-002
   8.0110612666539724E-002   2.0449801912249634E-002
   8.1681408993334620E-002   2.1251678637350793E-002
   8.3252205320129516E-002   2.2068509852279705E-002
   8.4823001646924426E-002   2.2900260779584142E-002
   8.6393797973719322E-002   2.3746896050006440E-002
   8.7964594300514218E-002   2.4608379706260133E-002
   8.9535390627309114E-002   2.5484675206900217E-002
   9.1106186954104010E-002   2.6375745430220841E-002
   9.2676983280898906E-002   2.7281552678244576E-002
   9.4247779607693802E-002   2.8202058680673391E-002
   9.5818575934488698E-002   2.9137224599032160E-002
   9.7389372261283594E-002   3.0087011030711847E-002
   9.8960168588078490E-002   3.1051378013170722E-002
  0.10053096491487339        3.2030285028117278E-002
  0.10210176124166828        3.3023691005778170E-002
  0.10367255756846318        3.4031554329196259E-002
  0.10524335389525807        3.5053832838561082E-002
  0.10681415022205297        3.6090483835606611E-002
  0.10838494654884787        3.7141464088049816E-002
  0.10995574287564276        3.8206729834034059E-002
  0.11152653920243766        3.9286236786661773E-002
  0.11309733552923255        4.0379940138532661E-002
  0.11466813185602745        4.1487794566385870E-002
  0.11623892818282235        4.2609754235627004E-002
  0.11780972450961726        4.3745772805077583E-002
  0.11938052083641215        4.4895803431636350E-002
  0.12095131716320705        4.6059798775055470E-002
  0.12252211349000194        4.7237711002620628E-002
  0.12409290981679684        4.8429491794066970E-002
  0.12566370614359174        4.9635092346316557E-002
  0.12723450247038662        5.0854463378415121E-002
  0.12880529879718153        5.2087555136352423E-002
  0.13037609512397641        5.3334317398040391E-002
  0.13194689145077132        5.4594699478254981E-002
  0.13351768777756620        5.5868650233597036E-002
  0.13508848410436111        5.7155524308847211E-002
  0.13665928043115602        5.8456443418540373E-002
  0.13823007675795090        5.9770774921302436E-002
  0.13980087308474581        6.1098465891533671E-002
  0.14137166941154070        6.2439462970702825E-002
  0.14294246573833561        6.3793712372509984E-002
  0.14451326206513049        6.5161159887963671E-002
  0.14608405839192540        6.6541750890580800E-002
  0.14765485471872028        6.7935430341553596E-002
  0.14922565104551519        6.9342142794902542E-002
  0.15079644737231007        7.0761832402705838E-002
  0.15236724369910498        7.2194442920365531E-002
  0.15393804002589986        7.3639917711761066E-002
  0.15550883635269477        7.5098199754554174E-002
  0.15707963267948966        7.6569231645417207E-002
  0.15865042900628457        7.8052955605331015E-002
  0.16022122533307945        7.9549313484845979E-002
  0.16179202165987436        8.1058246769384945E-002
  0.16336281798666924        8.2579696584529114E-002
  0.16493361431346415        8.4113603701332085E-002
  0.16650441064025903        8.5659908541653007E-002
  0.16807520696705394        8.7218551183403686E-002
  0.16964600329384885        8.8789471365972941E-002
  0.17121679962064373        9.0372608495464052E-002
  0.17278759594743864        9.1967901650080064E-002
  0.17435839227423353        9.3575289585420510E-002
  0.17592918860102844        9.5194710739837207E-002
  0.17749998492782332        9.6826103239752492E-002
  0.17907078125461823        9.8469404904979393E-002
  0.18064157758141311       0.10012455325409084     
  0.18221237390820802       0.10179148550969297     
  0.18378317023500290       0.10347013860381249     
  0.18535396656179781       0.10516044918313568     
  0.18692476288859269       0.10686235361439399     
