 n=           1 Bn=   1.0352761804100830      Dn=  -7.8241563711740187E-004
 n=           2 Bn=   3.3288169978087097E-002 Dn=  -7.2132285949691016E-005
 n=           3 Bn=   2.0119259240161747E-003 Dn=  -5.7537649121952475E-006
 n=           4 Bn=   1.3357830731424277E-004 Dn=  -4.3813530768477765E-007
 n=           5 Bn=   9.1537169057651655E-006 Dn=  -3.2666557363300867E-008
 n=           6 Bn=   6.3698133194171497E-007 Dn=  -2.4078959692554733E-009
 n=           7 Bn=   4.4716887412874083E-008 Dn=  -1.7626893929649140E-010
 n=           8 Bn=   3.1565695059147391E-009 Dn=  -1.2845849320855599E-011
 n=           9 Bn=   2.2364950004724007E-010 Dn=  -9.3327013423136289E-013
 n=          10 Bn=   1.5887393009259240E-011 Dn=  -6.7653179767543444E-014
 n=          11 Bn=   1.1307446843730717E-012 Dn=  -4.8961380070507736E-015
 n=          12 Bn=   8.0593387970353303E-014 Dn=  -3.5389407749640859E-016
 n=          13 Bn=   5.7506267389210260E-015 Dn=  -2.5554477172714881E-017
 n=          14 Bn=   4.1068609789039611E-016 Dn=  -1.8438342674061157E-018
 n=          15 Bn=   2.9350055313575514E-017 Dn=  -1.3295442371966715E-019
 n=          16 Bn=   2.0987250651225670E-018 Dn=  -9.5820627080100513E-021
 n=          17 Bn=   1.5014353135770932E-019 Dn=  -6.9028534280605099E-022
 n=          18 Bn=   1.0745544487539927E-020 Dn=  -4.9709760841762953E-023
 n=          19 Bn=   7.6929739059162995E-022 Dn=  -3.5786723396199511E-024
 n=          20 Bn=   5.5091262550348993E-023 Dn=  -2.5756609091007657E-025
 n=          21 Bn=   3.9461761453654877E-024 Dn=  -1.8533507569725650E-026
 n=           1 Bn=   1.0352761804100830      Dn=  -7.8241563711740187E-004
 n=           2 Bn=   3.3288169978087097E-002 Dn=  -7.2132285949691016E-005
 n=           3 Bn=   2.0119259240161747E-003 Dn=  -5.7537649121952475E-006
 n=           4 Bn=   1.3357830731424277E-004 Dn=  -4.3813530768477765E-007
 n=           5 Bn=   9.1537169057651655E-006 Dn=  -3.2666557363300867E-008
 n=           6 Bn=   6.3698133194171497E-007 Dn=  -2.4078959692554733E-009
 n=           7 Bn=   4.4716887412874083E-008 Dn=  -1.7626893929649140E-010
 n=           8 Bn=   3.1565695059147391E-009 Dn=  -1.2845849320855599E-011
 n=           9 Bn=   2.2364950004724007E-010 Dn=  -9.3327013423136289E-013
 n=          10 Bn=   1.5887393009259240E-011 Dn=  -6.7653179767543444E-014
 n=          11 Bn=   1.1307446843730717E-012 Dn=  -4.8961380070507736E-015
 n=          12 Bn=   8.0593387970353303E-014 Dn=  -3.5389407749640859E-016
 n=          13 Bn=   5.7506267389210260E-015 Dn=  -2.5554477172714881E-017
 n=          14 Bn=   4.1068609789039611E-016 Dn=  -1.8438342674061157E-018
 n=          15 Bn=   2.9350055313575514E-017 Dn=  -1.3295442371966715E-019
 n=          16 Bn=   2.0987250651225670E-018 Dn=  -9.5820627080100513E-021
 n=          17 Bn=   1.5014353135770932E-019 Dn=  -6.9028534280605099E-022
 n=          18 Bn=   1.0745544487539927E-020 Dn=  -4.9709760841762953E-023
 n=          19 Bn=   7.6929739059162995E-022 Dn=  -3.5786723396199511E-024
 n=          20 Bn=   5.5091262550348993E-023 Dn=  -2.5756609091007657E-025
 n=          21 Bn=   3.9461761453654877E-024 Dn=  -1.8533507569725650E-026
 n=          22 Bn=   2.8272307523917828E-025 Dn=  -1.3333423195986071E-027
 n=          23 Bn=   2.0259341239523334E-026 Dn=  -9.5907277553683696E-029
